,predicted prices,Date
186,3404.604544,6/28/2021
187,3442.5728,6/29/2021
188,3451.816414,6/30/2021
189,3441.473916,7/1/2021
190,3435.531388,7/2/2021
191,3508.353884,7/6/2021
192,3673.004884,7/7/2021
193,3701.709076,7/8/2021
194,3730.293601,7/9/2021
195,3724.085009,7/12/2021
196,3718.948123,7/13/2021
197,3682.107972,7/14/2021
198,3681.456902,7/15/2021
199,3636.738139,7/16/2021
200,3575.383109,7/19/2021
201,3551.84284,7/20/2021
202,3573.603952,7/21/2021
203,3587.818087,7/22/2021
204,3637.587295,7/23/2021
205,3659.979652,7/26/2021
206,3699.56146,7/27/2021
207,3633.38919,7/28/2021
208,3628.152112,7/29/2021
209,3605.592197,7/30/2021
210,3337.37211,8/2/2021
211,3324.731952,8/3/2021
212,3371.093687,8/4/2021
213,3355.626275,8/5/2021
214,3377.356114,8/6/2021
215,3348.359344,8/9/2021
216,3342.547173,8/10/2021
217,3323.82695,8/11/2021
218,3293.937225,8/12/2021
219,3304.486286,8/13/2021
220,3296.613201,8/16/2021
221,3299.95351,8/17/2021
222,3246.301159,8/18/2021
223,3202.329558,8/19/2021
224,3189.76999,8/20/2021
225,3200.844897,8/23/2021
226,3265.812982,8/24/2021
227,3307.908993,8/25/2021
228,3301.425801,8/26/2021
229,3316.797035,8/27/2021
230,3350.963901,8/30/2021
231,3421.643046,8/31/2021
232,3473.01503,9/1/2021
233,3481.085156,9/2/2021
234,3465.418876,9/3/2021
235,3478.901267,9/7/2021
236,3510.908798,9/8/2021
237,3527.432693,9/9/2021
238,3487.481471,9/10/2021
239,3470.003254,9/13/2021
240,3459.66152,9/14/2021
241,3451.465161,9/15/2021
242,3476.884405,9/16/2021
243,3490.458487,9/17/2021
244,3465.089878,9/20/2021
245,3359.826952,9/21/2021
246,3342.73567,9/22/2021
247,3381.970673,9/23/2021
248,3417.192751,9/24/2021
249,3427.902758,9/27/2021
250,3407.93286,9/28/2021
251,3319.624032,9/29/2021
252,3300.677816,9/30/2021
253,3288.119512,10/1/2021
254,3283.941614,10/4/2021
255,3194.411901,10/5/2021
256,3218.417979,10/6/2021
257,3265.389788,10/7/2021
258,3302.747359,10/8/2021
259,3292.161199,10/11/2021
260,3247.794223,10/12/2021
261,3248.335334,10/13/2021
262,3285.376668,10/14/2021
263,3302.091803,10/15/2021
264,3407.983769,10/18/2021
265,3451.216172,10/19/2021
266,3445.170229,10/20/2021
267,3417.853264,10/21/2021
268,3435.132342,10/22/2021
269,3341.008425,10/25/2021
270,3318.318008,10/26/2021
271,3378.188562,10/27/2021
272,3394.575689,10/28/2021
273,3447.154378,10/29/2021
274,3377.676231,11/1/2021
275,3317.802644,11/2/2021
276,3314.701169,11/3/2021
277,3385.557882,11/4/2021
278,3476.4777,11/5/2021
279,3521.597807,11/8/2021
280,3488.412513,11/9/2021
281,3575.102353,11/10/2021
282,3489.594215,11/11/2021
283,3469.449901,11/12/2021
284,3524.460777,11/15/2021
